19980619 00:00,273800,274400,267500,270000,1106100
19980622 00:00,270000,275600,267500,272500,1175700
19980623 00:00,274400,281300,272500,278100,1968800
19980624 00:00,277500,286300,273100,283100,2307200
19980625 00:00,285600,288100,283100,285300,1601300
19980626 00:00,285000,286300,277500,282500,933300
19980629 00:00,282500,288100,280600,287500,1383700
19980630 00:00,286300,288100,281300,287500,1073100
19980701 00:00,288800,300000,285000,300000,2572200
19980702 00:00,296900,300600,290000,290000,2458300
19980706 00:00,295000,303100,291300,303100,2128500
19980707 00:00,303800,308800,300000,305000,2076100
19980708 00:00,307500,329400,306900,325600,7836000
19980709 00:00,329400,336300,314400,316900,4806400
19980710 00:00,321900,326300,317500,320000,2460500
19980713 00:00,319400,341300,318800,339400,5857400
19980714 00:00,339400,340000,331300,334400,3254800
19980715 00:00,336900,346900,335000,345000,5140600
19980716 00:00,378800,381300,357500,375000,20974000
19980717 00:00,372500,372500,361900,368800,5223000
19980720 00:00,365600,366300,355000,361900,3346800
19980721 00:00,361300,367500,354400,355600,2807500
19980722 00:00,349400,356300,342500,350000,2435700
19980723 00:00,348100,356300,347500,350000,2092200
19980724 00:00,353800,355000,338800,346300,2370200
19980727 00:00,342500,348800,332500,343800,1768300
19980728 00:00,340600,346300,330000,335000,1934100
19980729 00:00,337500,358800,336900,350600,3822500
19980730 00:00,358100,367500,355000,364400,3102000
19980731 00:00,366300,367500,345000,345600,1526000
19980803 00:00,342500,355600,332500,350600,2551000
19980804 00:00,355000,360000,340000,341300,2482500
19980805 00:00,337500,360000,335000,359400,3706500
19980806 00:00,350600,368800,348800,368800,3646900
19980807 00:00,371900,373800,360000,365600,2523000
19980810 00:00,363100,380600,362500,380000,4083600
19980811 00:00,377500,410000,373800,390000,15190100
19980812 00:00,397500,409400,394800,400000,5917000
19980813 00:00,399400,407500,393800,394400,3329800
19980814 00:00,406900,407500,395000,405000,3771800
19980817 00:00,410000,428100,407500,419200,8045500
19980818 00:00,424400,433800,422500,427500,5276700
19980819 00:00,435000,437500,410000,410000,4017000
19980820 00:00,410000,410000,402500,406900,3391400
19980821 00:00,400000,435600,390000,430000,6989200
19980824 00:00,434400,435000,401300,412500,5100300
19980825 00:00,423800,423800,403100,408800,4221700
19980826 00:00,398800,411300,395000,403800,3512600
19980827 00:00,392500,392500,356300,375000,9258200
19980828 00:00,371300,385000,341300,342500,7841500
19980831 00:00,347500,348800,310000,311900,7118600
19980901 00:00,313800,353800,306300,340600,6833900
19980902 00:00,355000,373800,352500,355600,7272800
19980903 00:00,350000,351300,340000,347500,3499500
19980904 00:00,355000,364400,337500,351300,3222800
19980908 00:00,380000,382500,367500,381900,3444000
19980909 00:00,380600,381300,370000,374400,3112400
19980910 00:00,362500,382500,357500,381900,4260100
19980911 00:00,385000,396300,368800,375600,2888500
19980914 00:00,382500,388100,371300,371300,2040000
19980915 00:00,367500,385600,365000,381900,3572600
19980916 00:00,386300,387500,370000,372500,2236600
19980917 00:00,360600,371300,358800,360000,2287600
19980918 00:00,360600,367500,355600,367500,2455800
19980921 00:00,356900,369400,353100,368800,2539200
19980922 00:00,371300,376300,363800,370600,2160300
19980923 00:00,372500,383100,365600,382500,2327300
19980924 00:00,378800,395600,377500,385600,4094400
19980925 00:00,381900,391900,376300,387500,1943600
19980928 00:00,397500,401900,386300,390600,3476100
19980929 00:00,390600,400000,381300,394400,2606400
19980930 00:00,387500,392500,380000,381900,1416600
19981001 00:00,367500,378800,353800,357500,3021800
19981002 00:00,355000,362500,341300,350600,3944300
19981005 00:00,340000,345600,315000,321900,4687500
19981006 00:00,336900,343100,325000,325600,3375600
19981007 00:00,323800,333100,313800,319400,3707000
19981008 00:00,310000,311900,286300,308100,5764900
19981009 00:00,320000,351900,307500,351300,5479800
19981012 00:00,375000,384400,365600,373800,5346200
19981013 00:00,380600,391900,360000,388800,7955000
19981014 00:00,397500,413100,368100,375000,18060000
19981015 00:00,362500,372500,355000,366300,6849700
19981016 00:00,371300,380600,365600,366900,5131400
19981019 00:00,366900,380600,358800,374400,4107500
19981020 00:00,379400,381900,360000,361300,3217000
19981021 00:00,367500,374400,357500,371300,3677400
19981022 00:00,368800,376300,362500,367500,2734200
19981023 00:00,367500,368800,351300,355000,3096600
19981026 00:00,360600,377500,356300,374700,3889900
19981027 00:00,380000,389400,350600,352500,4296400
19981028 00:00,352500,370000,351300,367500,3030400
19981029 00:00,364400,374400,358100,363800,2904500
19981030 00:00,368100,375000,362500,370600,2749900
19981102 00:00,375000,377500,372500,375000,2201400
19981103 00:00,373800,382500,373100,378800,3176700
19981104 00:00,385600,391300,381300,386300,5442900
19981105 00:00,383800,393800,380600,381900,5223800
19981106 00:00,378800,382500,372500,380000,6830600
19981109 00:00,376900,381300,355000,366300,5653700
19981110 00:00,361900,362500,350000,350600,7228900
19981111 00:00,357500,358100,327500,336300,8146900
19981112 00:00,331300,344400,328800,340600,5079500
19981113 00:00,349400,360600,346900,356600,6758900
19981116 00:00,359400,367500,354400,359400,3152600
19981117 00:00,357500,358100,347500,348100,1812300
19981118 00:00,351900,360000,348800,354400,2869600
19981119 00:00,355000,371900,354400,357500,2923600
19981120 00:00,364400,367500,347500,351900,3294200
19981123 00:00,355600,368100,355000,362500,5023800
19981124 00:00,361300,367500,357500,358800,2506200
19981125 00:00,358800,360600,349400,351300,2545200
19981127 00:00,350600,351300,347500,350600,1318500
19981130 00:00,345600,347500,317500,319400,4777500
19981201 00:00,320000,348100,316300,341900,7067500
19981202 00:00,341300,368800,335000,360000,7399000
19981203 00:00,363100,365000,336300,336900,5176500
19981204 00:00,343100,344400,320000,328100,6140900
19981207 00:00,333800,337500,327500,336900,4241600
19981208 00:00,339400,339400,320000,320000,5877500
19981209 00:00,326900,328800,316300,319400,5070100
19981210 00:00,326900,329400,318800,320000,3173100
19981211 00:00,322500,340000,320000,338800,5775500
19981214 00:00,328800,333100,322500,325000,4208400
19981215 00:00,327500,336300,327500,335600,2187200
19981216 00:00,337500,341900,326300,328100,3217100
19981217 00:00,329400,337500,327500,334400,2707400
19981218 00:00,333800,353800,332500,351900,6583600
19981221 00:00,353800,356300,342500,350000,3045100
19981222 00:00,363800,381300,360000,380000,9657800
19981223 00:00,386300,405000,385000,397500,10591100
19981224 00:00,398800,400000,391900,391900,1695200
19981228 00:00,390000,411300,390000,408800,6219000
19981229 00:00,411300,415000,402500,407500,3375300
19981230 00:00,401300,411300,400000,401300,1978300
19981231 00:00,405000,413800,397500,409400,2310100
19990104 00:00,421300,422500,400000,412500,7697000
19990105 00:00,419400,439400,415000,433800,11677900
19990106 00:00,441300,441300,410000,416900,11330800
19990107 00:00,422500,450600,421900,449400,11708400
19990108 00:00,465600,467500,442500,449400,5701000
19990111 00:00,457500,460600,448800,458800,4900200
