20140831,fesx vu1ehidjymxx,EUREX,1
20140918,fesx vu1ehidjymxx,EUREX,0
20141130,fesx vwj060nwxajp,EUREX,1
20141218,fesx vwj060nwxajp,EUREX,0
20150228,fesx vz0luiy9vy5h,EUREX,1
20150319,fesx vz0luiy9vy5h,EUREX,0
20150531,fesx w1i7j18mulr9,EUREX,1
20150618,fesx w1i7j18mulr9,EUREX,0
20150831,fesx w3zt7jizt9d1,EUREX,1
20150917,fesx w3zt7jizt9d1,EUREX,0
20151130,fesx w6hew1tcrwyt,EUREX,1
20151217,fesx w6hew1tcrwyt,EUREX,0
20160229,fesx w8z0kk3pqkkl,EUREX,1
20160317,fesx w8z0kk3pqkkl,EUREX,0
20160531,fesx wbgm92e2p86d,EUREX,1
20160616,fesx wbgm92e2p86d,EUREX,0
20160831,fesx wdy7xkofnvs5,EUREX,1
20160915,fesx wdy7xkofnvs5,EUREX,0
20161130,fesx wgftm2ysmjdx,EUREX,1
20161215,fesx wgftm2ysmjdx,EUREX,0
20170228,fesx wixfal95l6zp,EUREX,1
20170316,fesx wixfal95l6zp,EUREX,0
20170531,fesx wlf0z3jijulh,EUREX,1
20170615,fesx wlf0z3jijulh,EUREX,0
20170831,fesx wnwmnltvii79,EUREX,1
20170914,fesx wnwmnltvii79,EUREX,0
20171130,fesx wqe8c448h5t1,EUREX,1
20171214,fesx wqe8c448h5t1,EUREX,0
20180228,fesx wsvu0melftet,EUREX,1
20180315,fesx wsvu0melftet,EUREX,0
20180531,fesx wvdfp4oyeh0l,EUREX,1
20180614,fesx wvdfp4oyeh0l,EUREX,0
20180831,fesx wy1xiajhweqt,EUREX,1
20180920,fesx wy1xiajhweqt,EUREX,0
20181130,fesx x0jj6stuv2cl,EUREX,1
20181220,fesx x0jj6stuv2cl,EUREX,0
20190228,fesx x2u8qnk1aftx,EUREX,1
20190314,fesx x2u8qnk1aftx,EUREX,0
20190531,fesx x5iqjteksdk5,EUREX,1
20190620,fesx x5iqjteksdk5,EUREX,0
20190831,fesx x80c8boxr15x,EUREX,1
20190919,fesx x80c8boxr15x,EUREX,0
20191130,fesx xahxwtzaporp,EUREX,1
20191219,fesx xahxwtzaporp,EUREX,0
20200229,fesx xczjlc9nocdh,EUREX,1
20200319,fesx xczjlc9nocdh,EUREX,0
20200531,fesx xfh59uk0mzz9,EUREX,1
20200618,fesx xfh59uk0mzz9,EUREX,0
20200831,fesx xhyqycudlnl1,EUREX,1
20200917,fesx xhyqycudlnl1,EUREX,0
20201130,fesx xkgcmv4qkb6t,EUREX,1
20201217,fesx xkgcmv4qkb6t,EUREX,0
20210228,fesx xmxybdf3iysl,EUREX,1
20210318,fesx xmxybdf3iysl,EUREX,0
20210531,fesx xpfjzvpghmed,EUREX,1
20210617,fesx xpfjzvpghmed,EUREX,0
20210831,fesx xrx5odztga05,EUREX,1
20210916,fesx xrx5odztga05,EUREX,0
20211130,fesx xuercwa6exlx,EUREX,1
20211216,fesx xuercwa6exlx,EUREX,0
20220228,fesx xwwd1ekjdl7p,EUREX,1
20220317,fesx xwwd1ekjdl7p,EUREX,0
20220531,fesx xzdypwuwc8th,EUREX,1
20220616,fesx xzdypwuwc8th,EUREX,0
20220831,fesx y1vkef59awf9,EUREX,1
20220915,fesx y1vkef59awf9,EUREX,0
