#right,strike,expiry,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
,,,93.7600,93.7800,93.7600,93.7700,2067,,,,,,,
C,27.86,20150117,65.9000,67.5000,65.7250,66.1000,0,2884,0,0.8279738,0.0000000,0.0000000,0.0663903,0.1671659
C,28.57,20150117,65.1500,66.7000,65.0000,65.5000,0,406,0,0.8279738,0.0000000,0.0000000,0.0663758,0.1714260
C,29.29,20150117,64.4500,65.9750,64.2500,64.6750,0,168,0,0.8279738,0.0000000,0.0000000,0.0663611,0.1757462
C,30,20150117,63.5500,65.2500,63.5250,63.9750,0,28,0,0.8279738,0.0000000,0.0000000,0.0663466,0.1800063
C,30.71,20150117,63.3000,64.5500,62.8250,63.2750,0,189,0,0.8279738,0.0000000,0.0000000,0.0663320,0.1842665
C,31.43,20150117,62.5500,63.6500,62.0750,62.6250,0,21,0,0.8279738,0.0000000,0.0000000,0.0663173,0.1885867
C,32.14,20150117,61.9900,62.2000,61.9900,62.2000,10,248,0,0.8279738,0.0000000,0.0000000,0.0663028,0.1928468
C,32.86,20150117,61.0000,62.4000,60.6500,61.0500,0,161,0,0.8279738,0.0000000,0.0000000,0.0662881,0.1971670
C,33.57,20140719,60.0500,60.0500,60.0500,60.0500,0,141,0,0.9679195,0.0000000,0.0000000,0.0775887,0.0349223
C,33.57,20150117,60.4500,61.7000,59.9500,60.2000,0,112,0,0.8279738,0.0000000,0.0000000,0.0662735,0.2014271
C,34.29,20140719,59.2000,61.4000,58.8000,59.6750,0,,2.6176565,0.9128887,0.0014345,0.0336121,-0.0424840,0.0274482
C,34.29,20150117,59.3250,60.9750,59.2500,59.6750,0,56,1.9204713,0.7478333,0.0012194,0.1038158,0.0148689,0.0872967
C,34.29,20160115,58.6900,58.6900,58.6900,58.6900,0,542,0,0.6063788,0.0000000,0.0000000,0.0483431,0.5411785
C,35,20140719,58.5750,60.7000,58.0750,59.0250,0,,2.5868844,0.9111289,0.0014879,0.0344544,-0.0441424,0.0279523
C,35.71,20140719,57.9500,60.0000,57.4500,58.2750,0,,2.5279910,0.9102900,0.0015402,0.0348530,-0.0428799,0.0286508
C,35.71,20150117,57.9500,59.5500,57.7750,58.0250,0,1169,0,0.8279738,0.0000000,0.0000000,0.0662298,0.2142676
C,35.71,20160115,57.9250,59.6500,57.6500,58.2750,0,56,3.5288115,0.6005013,0.0000617,0.0187329,0.0428823,0.0095407
C,36.43,20140719,57.1500,59.2500,56.6750,57.6000,0,,2.4938027,0.9086038,0.0015969,0.0356485,-0.0440693,0.0291881
C,37.14,20140719,56.4750,58.5500,55.9500,56.8250,0,,2.4303959,0.9080089,0.0016514,0.0359274,-0.0420499,0.0299365
C,37.14,20141018,56.5250,58.4250,56.0500,56.8250,0,,2.0884157,0.8060521,0.0014954,0.0877730,-0.0062551,0.0676646
C,37.14,20150117,56.6250,57.9750,56.4000,56.9000,0,833,0,0.8279738,0.0000000,0.0000000,0.0662005,0.2228479
C,37.14,20160115,56.1000,58.2000,56.1000,56.8250,0,14,0,0.6063788,0.0000000,0.0000000,0.0482852,0.5861584
C,37.86,20140621,57.4000,57.4000,57.4000,57.4000,10,10,1.8830981,0.9903408,0.0001277,0.0005801,0.0738536,0.0103389
C,37.86,20140719,55.8000,57.8500,55.3000,56.1750,0,,2.4047165,0.9060176,0.0017121,0.0368543,-0.0439394,0.0304178
C,37.86,20140816,55.8250,57.7000,55.2500,56.1750,0,,2.1950682,0.8664298,0.0017388,0.0579324,-0.0267909,0.0460841
C,37.86,20141018,55.8500,57.6750,55.3000,56.1250,0,,2.0514200,0.8037143,0.0015514,0.0894450,-0.0065248,0.0693598
C,37.86,20150117,55.9250,57.2250,55.6250,55.8750,0,,2.0400531,0.7407152,0.0012214,0.1104591,0.0084028,0.0840063
C,38.57,20140621,55.1500,57.0250,54.4500,55.4000,0,,1.8465917,0.9903164,0.0001328,0.0005917,0.0738358,0.0105328
C,38.57,20140719,55.0250,57.1500,54.5000,55.4000,0,,2.3437723,0.9054214,0.0017698,0.0371299,-0.0418970,0.0311661
C,38.57,20140816,55.1250,57.0250,54.5000,55.4750,0,,0.7659789,0.9420055,0.0003076,0.0035763,0.0733218,0.0690938
