#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC V70C2SDFJCHT,DC30K12,15.24,15.27,15.24,15.27,8,
DC V8PDSL1WA4G1,DC31M12,15.55,15.93,15.5,15.86,324,
DC V7YSQ26C7R41,DC04M12,15.95,16.5,15.95,16.3,808,
DC V9GYB7AMF8XT,DC28Q12,15.95,16.3,15.84,16.17,205,
DC VAFEYH3J3NK1,DC02U12,16.08,16.3,16,16.1,98,
DC VB50KWLX39Q9,DC28V12,15.99,16.15,15.99,16,33,
DC VC5G4D55X6O1,DC04X12,15.94,15.97,15.94,15.97,12,
DC VCY032R252BL,DC02Z12,15.87,15.95,15.85,15.95,9,
DC VDOL5LMM7FNL,DC29F13,15.79,15.94,15.745,15.855,0,
DC VEG5O7VCCK5D,DC26G13,15.59,15.59,15.59,15.59,1,
DC VFEMBHO90YRL,DC02H13,15.64,15.65,15.64,15.65,3,
DC VH4NHDPVUHVL,DC04K13,15.9,15.92,15.9,15.92,0,
DC VHW7ZZYLZMDD,DC02M13,15.74,15.75,15.74,15.74,3,
DC VINSIM7C4QV5,DC30N13,15.865,15.99,15.835,15.95,0,
