#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC V5E8P9SH0U0X,DC01H12,16.09,16.1,15.17,15.24,461,5475
DC V5E8P9SH0U0X,DC01H12,16.09,16.1,15.17,15.24,461,5475
DC V67S42RJBGU9,DC01J12,15.21,15.23,14.84,15,394,4238
DC V70C2SDFJCHT,DC30K12,15.36,15.39,15.04,15.1,262,3459
DC V8PDSL1WA4G1,DC31M12,15.65,15.7,15.41,15.45,157,3022
DC V7YSQ26C7R41,DC04M12,16.05,16.06,15.86,15.87,120,2286
DC V9GYB7AMF8XT,DC28Q12,16.23,16.23,16.11,16.15,70,2234
DC VAFEYH3J3NK1,DC02U12,16.3,16.32,16.21,16.3,75,2144
DC VB50KWLX39Q9,DC28V12,16.35,16.35,16.25,16.35,48,1842
DC VC5G4D55X6O1,DC04X12,16.21,16.24,16.13,16.2,38,1668
DC VCY032R252BL,DC02Z12,16.17,16.22,16.1,16.16,39,1626
DC VDOL5LMM7FNL,DC29F13,16,16.04,16,16.04,8,154
DC VEG5O7VCCK5D,DC26G13,16.17,16.18,16.17,16.17,4,103
DC VFEMBHO90YRL,DC02H13,15.9,15.9,15.9,15.9,1,20
DC VH4NHDPVUHVL,DC04K13,16.15,16.155,16.15,16.155,0,15
DC VHW7ZZYLZMDD,DC02M13,16.2,16.2,16.2,16.2,1,17
DC VINSIM7C4QV5,DC30N13,16.25,16.25,16.25,16.25,2,15
