#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC V5E8P9SH0U0X,DC01H12,17.71,17.75,17.01,17.08,1429,
DC V5E8P9SH0U0X,DC01H12,17.71,17.75,17.01,17.08,1429,
DC V67S42RJBGU9,DC01J12,17.61,17.66,17.3,17.31,80,
DC V70C2SDFJCHT,DC30K12,17.57,17.61,17.35,17.35,42,
DC V8PDSL1WA4G1,DC31M12,17.56,17.58,17.37,17.44,38,
DC V7YSQ26C7R41,DC04M12,17.51,17.56,17.42,17.42,34,
DC V9GYB7AMF8XT,DC28Q12,17.5,17.57,17.46,17.46,23,
DC VAFEYH3J3NK1,DC02U12,17.45,17.57,17.45,17.45,31,
DC VB50KWLX39Q9,DC28V12,17.15,17.24,17.15,17.17,28,
DC VC5G4D55X6O1,DC04X12,17.12,17.19,17.1,17.18,33,
DC VCY032R252BL,DC02Z12,17.16,17.2,17.14,17.14,29,
DC VDOL5LMM7FNL,DC29F13,17.08,17.08,17.08,17.08,2,
DC VEG5O7VCCK5D,DC26G13,16.765,16.79,16.625,16.735,0,
DC VFEMBHO90YRL,DC02H13,16.5,16.5,16.5,16.5,1,
DC VH4NHDPVUHVL,DC04K13,16.41,16.425,16.41,16.425,0,
DC VHW7ZZYLZMDD,DC02M13,16.445,16.445,16.37,16.37,0,
DC VINSIM7C4QV5,DC30N13,0,0,0,0,0,
