#expiry,open,high,low,close,volume,open_interest
201205,15.74,15.99,15.62,15.73,536,5132
201206,15.41,15.7,15.39,15.63,342,4206
201207,15.6,16.6,15.6,16.4,280,2639
201209,16.65,16.85,16.65,16.76,51,2562
201210,16.7,16.79,16.7,16.79,31,2279
201211,16.75,16.75,16.66,16.66,14,2113
201212,16.4,16.51,16.4,16.51,13,1900
201301,16.46,16.46,16.46,16.46,4,1854
201302,16.22,16.22,16.125,16.125,0,185
201303,16.075,16.075,16.01,16.035,0,133
201304,16.03,16.265,15.955,16.03,0,35
201306,0,0,0,0,0,27
201307,16.025,16.1,16.025,16.025,0,27
201308,16.00,16.045,16.00,16.00,0,16
201309,0,0,0,0,0,13
201310,0,0,0,0,0,2
201311,0,0,0,0,0,3
201312,0,0,0,0,0,3
201401,0,0,0,0,0,1
201402,0,0,0,0,0,
