#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC VAFEYH3J3NK1,DC02U12,18.86,18.93,18.85,18.93,205,4628
DC VB50KWLX39Q9,DC28V12,20,20.3,19.99,20.28,562,5092
DC VC5G4D55X6O1,DC04X12,20.59,20.87,20.54,20.78,445,4542
DC VCY032R252BL,DC02Z12,20.25,20.4,20.18,20.32,219,3769
DC VDOL5LMM7FNL,DC29F13,19.8,19.95,19.72,19.86,79,1555
DC VEG5O7VCCK5D,DC26G13,19.35,19.5,19.3,19.45,96,1296
DC VFEMBHO90YRL,DC02H13,19.1,19.29,19.05,19.16,181,1162
DC VH4NHDPVUHVL,DC04K13,18.99,19.13,18.99,19.13,82,739
DC VHW7ZZYLZMDD,DC02M13,18.93,19.09,18.93,19.02,74,681
DC VINSIM7C4QV5,DC30N13,18.95,19.1,18.95,19.04,50,554
