#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC V67S42RJBGU9,DC01J12,15.76,15.77,15.76,15.77,11,
DC V70C2SDFJCHT,DC30K12,14.99,15.24,14.9,15.18,343,
DC V8PDSL1WA4G1,DC31M12,14.65,14.79,14.47,14.62,417,
DC V7YSQ26C7R41,DC04M12,15.12,15.32,15.1,15.19,74,
DC V9GYB7AMF8XT,DC28Q12,15.85,15.93,15.8,15.9,26,
DC VAFEYH3J3NK1,DC02U12,16.2,16.27,16.15,16.25,25,
DC VB50KWLX39Q9,DC28V12,16.2,16.24,16.2,16.2,10,
DC VC5G4D55X6O1,DC04X12,16.1,16.14,16.1,16.13,11,
DC VCY032R252BL,DC02Z12,16.01,16.05,15.99,16.03,10,
DC VDOL5LMM7FNL,DC29F13,15.93,15.98,15.9,15.9,7,
DC VEG5O7VCCK5D,DC26G13,15.85,15.85,15.85,15.85,1,
DC VFEMBHO90YRL,DC02H13,16,16.15,15.88,16.03,8,
DC VH4NHDPVUHVL,DC04K13,15.7,15.7,15.7,15.7,2,
DC VHW7ZZYLZMDD,DC02M13,15.71,15.71,15.71,15.71,2,
DC VINSIM7C4QV5,DC30N13,16.02,16.02,16.02,16.02,2,
