#expiry,open,high,low,close,volume,open_interest
20120301,17.25,17.35,17.13,17.15,231,4726
20120401,17.5,17.69,17.45,17.56,449,3926
20120501,17.4,17.44,17.39,17.42,31,2841
20120530,17.25,17.3,17.25,17.25,11,2687
20120704,17.16,17.34,17.15,17.28,63,1680
20120731,0,0,0,0,0,2292
20120828,17.35,17.35,17.32,17.32,6,1592
20121002,17.38,17.38,17.38,17.38,1,1555
20121028,17.07,17.07,17.06,17.06,3,1324
20121204,17.04,17.05,17.04,17.05,10,1279
20130102,17.08,17.08,17.06,17.06,2,1269
20130129,16.75,16.78,16.75,16.775,0,36
20130226,0,0,0,0,0,25
20130402,0,0,0,0,0,21
20130604,0,0,0,0,0,5
20130702,0,0,0,0,0,4
20130730,0,0,0,0,0,3
