#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC V5E8P9SH0U0X,DC01H12,15.32,15.4,15.26,15.35,185,6093
DC V5E8P9SH0U0X,DC01H12,15.32,15.4,15.26,15.35,185,6093
DC V67S42RJBGU9,DC01J12,14.85,15.45,14.73,15.1,1036,4735
DC V70C2SDFJCHT,DC30K12,14.86,15.38,14.65,15.06,777,3737
DC V8PDSL1WA4G1,DC31M12,15.44,15.85,15.31,15.45,301,3184
DC V7YSQ26C7R41,DC04M12,15.95,16.25,15.84,15.95,129,2453
DC V9GYB7AMF8XT,DC28Q12,16.3,16.58,16.25,16.32,62,2367
DC VAFEYH3J3NK1,DC02U12,16.34,16.51,16.34,16.4,51,2251
DC VB50KWLX39Q9,DC28V12,16.34,16.5,16.34,16.36,14,2034
DC VC5G4D55X6O1,DC04X12,16.29,16.33,16.18,16.18,5,1827
DC VCY032R252BL,DC02Z12,16.17,16.29,16.17,16.22,13,1751
DC VDOL5LMM7FNL,DC29F13,16,16.02,15.94,16.02,0,159
DC VEG5O7VCCK5D,DC26G13,16.1,16.1,16.1,16.1,2,120
DC VFEMBHO90YRL,DC02H13,16.11,16.11,16.09,16.1,8,25
DC VH4NHDPVUHVL,DC04K13,16.025,16.095,15.91,16.095,0,15
DC VHW7ZZYLZMDD,DC02M13,16.2,16.2,16.2,16.2,1,19
DC VINSIM7C4QV5,DC30N13,16.25,16.25,16.25,16.25,0,15
