#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC V5E8P9SH0U0X,DC01H12,15.63,15.65,15.63,15.63,63,5996
DC V67S42RJBGU9,DC01J12,16.17,16.23,15.56,15.6,545,4881
DC V70C2SDFJCHT,DC30K12,15.16,15.33,14.72,15.16,842,4201
DC V8PDSL1WA4G1,DC31M12,15.52,15.66,15.16,15.5,278,3478
DC V7YSQ26C7R41,DC04M12,16.17,16.24,15.73,16.1,61,2576
DC V9GYB7AMF8XT,DC28Q12,16.73,16.73,16.27,16.49,124,2428
DC VAFEYH3J3NK1,DC02U12,16.76,16.76,16.4,16.66,32,2274
DC VB50KWLX39Q9,DC28V12,16.7,16.7,16.55,16.65,11,2091
DC VC5G4D55X6O1,DC04X12,16.45,16.45,16.42,16.42,15,1880
DC VCY032R252BL,DC02Z12,16.48,16.5,16.41,16.45,22,1799
DC VDOL5LMM7FNL,DC29F13,16.14,16.14,16.14,16.14,2,173
DC VEG5O7VCCK5D,DC26G13,16.08,16.08,16.08,16.08,1,132
DC VFEMBHO90YRL,DC02H13,16.36,16.43,16.36,16.38,14,34
DC VH4NHDPVUHVL,DC04K13,16.15,16.16,16.15,16.16,3,24
DC VHW7ZZYLZMDD,DC02M13,16.015,16.05,15.995,16.05,0,26
DC VINSIM7C4QV5,DC30N13,0,0,0,0,0,16
