#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC VAFEYH3J3NK1,DC02U12,18.77,18.84,18.77,18.79,30,4705
DC VB50KWLX39Q9,DC28V12,19.26,19.26,18.97,19.05,503,4954
DC VC5G4D55X6O1,DC04X12,19.55,19.56,19.37,19.39,160,4040
DC VCY032R252BL,DC02Z12,19.5,19.55,19.3,19.4,93,3568
DC VDOL5LMM7FNL,DC29F13,19.41,19.53,19.32,19.32,44,1431
DC VEG5O7VCCK5D,DC26G13,19.09,19.09,19,19.03,18,1275
DC VFEMBHO90YRL,DC02H13,18.8,18.97,18.8,18.97,22,840
DC VH4NHDPVUHVL,DC04K13,18.75,18.85,18.625,18.78,0,685
DC VHW7ZZYLZMDD,DC02M13,18.61,18.61,18.61,18.61,2,602
DC VINSIM7C4QV5,DC30N13,18.65,18.75,18.58,18.66,0,486
