#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC V70C2SDFJCHT,DC30K12,15.36,15.39,15.05,15.11,310,
DC V8PDSL1WA4G1,DC31M12,14.9,14.98,14.51,14.55,271,
DC V7YSQ26C7R41,DC04M12,15.24,15.3,14.8,14.81,117,
DC V9GYB7AMF8XT,DC28Q12,15.66,15.7,15.35,15.35,32,
DC VAFEYH3J3NK1,DC02U12,16,16.03,15.78,15.78,18,
DC VB50KWLX39Q9,DC28V12,16.03,16.06,15.83,15.83,30,
DC VC5G4D55X6O1,DC04X12,15.85,15.87,15.73,15.73,25,
DC VCY032R252BL,DC02Z12,15.74,15.75,15.65,15.67,16,
DC VDOL5LMM7FNL,DC29F13,15.59,15.6,15.58,15.6,10,
DC VEG5O7VCCK5D,DC26G13,15.5,15.5,15.45,15.45,4,
DC VFEMBHO90YRL,DC02H13,15.95,15.95,15.65,15.65,6,
DC VH4NHDPVUHVL,DC04K13,15.72,15.72,15.72,15.72,2,
DC VHW7ZZYLZMDD,DC02M13,15.61,15.61,15.61,15.61,1,
DC VINSIM7C4QV5,DC30N13,16,16,16,16,1,
