#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC V8PDSL1WA4G1,DC31M12,0,0,0,0,0,
DC V9GYB7AMF8XT,DC28Q12,17.73,17.75,17.63,17.68,326,
DC VAFEYH3J3NK1,DC02U12,19.09,19.09,18.85,18.85,238,
DC VB50KWLX39Q9,DC28V12,18.94,18.95,18.75,18.79,53,
DC VC5G4D55X6O1,DC04X12,18.83,18.83,18.61,18.65,40,
DC VCY032R252BL,DC02Z12,18.83,18.83,18.64,18.66,25,
DC VDOL5LMM7FNL,DC29F13,18.42,18.42,18.31,18.35,13,
DC VEG5O7VCCK5D,DC26G13,18.18,18.18,18.01,18.11,13,
DC VFEMBHO90YRL,DC02H13,18.05,18.12,17.9,18.03,32,
DC VH4NHDPVUHVL,DC04K13,18.1,18.15,18,18.03,24,
DC VHW7ZZYLZMDD,DC02M13,18.15,18.22,18.09,18.1,17,
DC VINSIM7C4QV5,DC30N13,18.15,18.17,18.06,18.11,28,
