A,A,55.17,1127159,89805718
AA,AA,12.03,11172277,155122140
AADR,AADR,37.63,301,60028
AAIT,AAIT,30.98,2523,86942
AAL,AAL,37.9,6238999,202277147
AALCP,AALCP,28.6,5177,5220126
AAMC,AAMC,1099.9,9138,20962266
AAME,AAME,3.63,1211,17553
AAN,AAN,30.69,284044,20999520
AAOI,AAOI,25.43,113636,3493724
AAON,AAON,28.86,77830,2810826
AAP,AAP,123.57,509385,69909619
AAPL,AAPL,544.99,7213696,3556319284
AAT,AAT,33.45,119714,2780224
AAU,AAU,1.37,27963,111249
AAV,AAV,4.42,89212,448560
AAWW,AAWW,34.99,327748,7262105
AAXJ,AAXJ,57.8,381467,23583863
AB,AB,25.41,91840,5442137
ABAX,ABAX,37.36,58845,3922882
ABB,ABB,25.06,1901985,26728301
ABBV,ABBV,51.7,3705628,199227807
ABC,ABC,64.57,1333318,77847944
ABCB,ABCB,23.73,85918,1516732
ABCD,ABCD,2.09,50924,39157
ABCO,ABCO,64.85,134853,9906022
ABEV,ABEV,7.22,4442801,36767703
ARCB,ABFS,36.32,141042,9058036
ABG,ABG,55.09,266001,9735372
ABGB,ABGB,22.37,8033,228867
ABIO,ABIO,1.98,360098,845734
ABM,ABM,28.65,64704,4301616
ABMD,ABMD,27.18,152933,8436268
ABR,ABR,6.69,149517,430034
ABT,ABT,38.41,5891668,228027951
ABTL,ABTL,12.5,141643,2286412
ABX,ABX,18.51,5460924,156047972
ACAD,ACAD,23.81,1660918,36006307
ACAS,ACAS,14.52,925723,24967763
ACAT,ACAT,48.51,68715,6026053
ACC,ACC,37.47,304773,18717340
ACCL,ACCL,12.48,68169,4037738
ACCO,ACCO,6.3,284839,2840942
ACCU,ACCU,26.34,668,121404
ACE,ACE,99.14,854628,104911878
ACET,ACET,19.86,157730,3812654
ACFC,ACFC,3.87,27367,36727
ACFN,ACFN,3.27,37393,248977
ACG,ACG,7.34,257947,2106048
ACGL,ACGL,57.45,207839,25752617
ACH,ACH,8.43,33054,583296
ACHC,ACHC,45.62,180954,11746220
ACHN,ACHN,3.7,1853052,4174123
ACI,ACI,4.67,6716241,23157978
ACIM,ACIM,62.34,942,44763
ACIW,ACIW,60.19,114787,13037584
ACLS,ACLS,2.28,245095,783611
ACM,ACM,32.01,401094,13794956
WPZ,ACMP,55.42,191876,16198119
ACN,ACN,83.53,2042725,135763656
ACNB,ACNB,18.1,197,37416
ACO,ACO,45.8,83134,12194790
ACOR,ACOR,39.085,320839,12484461
ACP,ACP,17.48,24382,386776
ACPW,ACPW,3.23,121019,406683
ACRE,ACRE,13.28,127196,1733967
ACRX,ACRX,12.14,356544,4966875
ACSF,ACSF,14.1,30594,4527567
ACST,ACST,1.22,121927,218925
ACT,ACT,206.29,1784650,356607816
ACTG,ACTG,14.95,426582,6736992
ACTS,ACTS,2.5,54396,58973
ACU,ACU,17.61,1575,77124
ACUR,ACUR,1.6,64917,311327
ACW,ACW,4.39,74309,601484
ACWI,ACWI,57.35,754198,45288865
ACWV,ACWV,63.38,16484,1037042
ACWX,ACWX,45.67,434550,8569196
ACXM,ACXM,35.29,208061,10812904
ACY,ACY,17.84,346,35030
ADAT,ADAT,1.05,16937,57957
ADBE,ADBE,65.81,2975907,198255341
ADC,ADC,31.19,25753,1040599
ADEP,ADEP,18.73,136760,3819574
ADES,ADES,25.05,118690,2294332
ADGE,ADGE,2.18,4531,34489
ADHD,ADHD,19.71,56367,1444508
ADI,ADI,53.29,2339407,96145811
ADK,ADK,4.23,9273,55406
ADM,ADM,42.42,1754023,114399377
ADMP,ADMP,6.28,33434,369081
ADNC,ADNC,12.7,39938,994042
ADP,ADP,76.68,1081418,111761600
ADRA,ADRA,27.4,500,22472
ADRA,ADRA,27.4,500,22472
ADRD,ADRD,24.12,643,31111
ADRE,ADRE,35.32,2971,349590
ADRU,ADRU,24.24,1,27916
ADS,ADS,278.46,735550,156193871
ADSK,ADSK,49.78,1578242,100918504
ADT,ADT,29.89,2841464,73912904
ADTN,ADTN,25.12,452374,9524180
ADUS,ADUS,21.93,44871,2141595
ADVS,ADVS,30.31,158579,5502444
ADX,ADX,12.95,46124,837327
ADXS,ADXS,4.48,123623,424982
ADXSW,ADXSW,1.7,2000,11728
ADZ,ADZ,32.85,676,28035
AE,AE,63.5,9404,530007
AEB,AEB,21.4,16757,288633
AEC,AEC,16.86,185067,3712548
AED,AED,25.23,10251,574069
AEE,AEE,40.52,1094167,49843540
AEF,AEF,25.61,55526,895633
AEG,AEG,8.98,700395,5162797
AEGN,AEGN,24.21,127472,4561711
AEGR,AEGR,46.21,962183,35953803
AEH,AEH,25.39,24198,1220801
AEHR,AEHR,3,14513,43097
AEIS,AEIS,26.61,177770,8420957
AEK,AEK,28.88,21473,773874
AEL,AEL,24.9,327346,10114800
AEM,AEM,31.1,1075277,48202898
AEM,AEM,31.1,1075277,48202898
AEO,AEO,12.66,2492410,45097214
AEP,AEP,49.38,2614803,95107751
AEPI,AEPI,39.75,15689,1247123
AER,AER,40.72,657570,24781569
AERI,AERI,20.2,88379,1253678
AES,AES,13.94,2692227,44587919
AET,AET,73.93,1103479,119800322
AETI,AETI,6.75,9236,264878
AEY,AEY,3.18,3157,67471
AEZS,AEZS,1.22,427039,629221
AF,AF,14.22,232288,4259290
AFA,AFA,24.15,5807,121257
AFAM,AFAM,22.21,69822,831611
AFB,AFB,13.34,28580,476725
AFC,AFC,25.11,3147,138637
AFFX,AFFX,6.8,468693,4516139
AFG,AFG,57.11,252426,14043206
AFH,AFH,13.56,273,141509
AFK,AFK,31.3,2292,341900
AFL,AFL,62.95,1303402,79124427
AFM,AFM,25.68,1462,92001
AFOP,AFOP,14.89,234924,4539860
AFQ,AFQ,25.94,6195,131503
AFSD,AFSD,23.51,9555,422630
AFSI,AFSI,39.17,248589,18319984
AFT,AFT,18.27,17701,420983
AFW,AFW,25.29,21107,248253
AG,AG,10.15,878657,9709128
AGC,AGC,7.53,62034,554405
AGCO,AGCO,54.01,890543,48419806
AGD,AGD,9.85,27598,224408
AGEN,AGEN,3.32,439223,2103865
