A RPTMYV3VC57P,A,56.36,1192460,88206261
AA R735QTJ8XC9X,AA,13.03,14199208,187962640
AAIT V3Z1GERP1JZ9,AAIT,32.19,575,74518
AAL VM9RIYHM8ACL,AAL,37.94,6191067,197931989
AALCP VM9RIYHM8ACL,AALCP,28.58,14900,3984437
AAMC VJV46QARHW85,AAMC,1112.4,11776,19528790
AAME R735QTJ8XC9X,AAME,3.63,4351,20167
RNTA SB2PBIC0SCX1,AAN,30.41,432713,18562100
AAOI VK8WG1F4KGH1,AAOI,24.36,293308,4436482
AAON R735QTJ8XC9X,AAON,28.64,118993,2627508
AAP SA48O8J43YAT,AAP,127.24,549906,67714175
AAPL R735QTJ8XC9X,AAPL,541.74,5087311,3342833245
AAT UT927RDJ1T2D,AAT,34.21,102364,2736081
AAU TEMHQPA3FAZP,AAU,1.44,46373,101412
AAV TECN9RMENRDX,AAV,5.02,183954,734668
AAWW TJ2ZLXWLWA5H,AAWW,35.67,186324,7288895
AAXJ U55LDE3TN4O5,AAXJ,59.83,252847,21681872
AC R735QTJ8XC9X,AB,25.38,210502,5341957
ABAX R735QTJ8XC9X,ABAX,39.56,67470,4129865
ABB S3MVQ2U3Z59H,ABB,26.06,1171884,27775405
ABBV VCY032R250MD,ABBV,52.09,2474616,186227066
AAS R735QTJ8XC9X,ABC,65.91,1168988,79438000
ABCB R735QTJ8XC9X,ABCB,23.75,61800,1514308
ABCD UIB7ED20G0V9,ABCD,2.18,20817,37905
ABCO S9OHIQOEVVQD,ABCO,65.03,100385,9635177
ABEV VLI70C8W35UT,ABEV,7.5,4595115,39792196
ABFS R735QTJ8XC9X,ABFS,38.49,294876,9460399
ABG SCZMM1XU565H,ABG,56.51,145397,10444171
ABGB VKTKU03O6AUD,ABGB,24.03,2161,291649
HYSQ R735QTJ8XC9X,ABIO,1.84,96957,676120
ABM R735QTJ8XC9X,ABM,28.82,108429,4252528
ABMD R735QTJ8XC9X,ABMD,26.2,269886,7755592
ABR SXN14N49WSBP,ABR,7.02,81361,457635
ABT R735QTJ8XC9X,ABT,38.46,3673987,215977996
ABTL RJCA0PEV7C6D,ABTL,12.03,201825,2044719
ABX R735QTJ8XC9X,ABX,17.89,5640006,149063411
ACAD SZ09HBEPQICL,ACAD,25.08,1412834,38946258
ACAS R735QTJ8XC9X,ACAS,15.63,2522904,30492299
ACAT R735QTJ8XC9X,ACAT,47.52,124430,5790353
ACC T142WIKPMLPH,ACC,37.26,430262,17729088
PCOP R735QTJ8XC9X,ACCL,12.48,197508,3654732
ABD TB8EB3X5XR39,ACCO,6.38,414860,2608193
ACCU V3L973NBYZQD,ACCU,27.05,1712,114026
ACL R735QTJ8XC9X,ACE,99.08,817758,97760926
ACET R735QTJ8XC9X,ACET,20.9,157966,4158366
ACFC T2L91KBTRCDH,ACFC,4.2,33485,88295
DSSI R735QTJ8XC9X,ACFN,3.39,74064,279801
ACG R735QTJ8XC9X,ACG,7.3,398817,2344371
RCHI R735QTJ8XC9X,ACGL,57.21,280375,22947076
ACH SAG21CX51085,ACH,8.69,32997,541237
ACHC V18KR26TE3XH,ACHC,45.98,202335,11387135
ACHN TN4PRS1L7XWL,ACHN,3.32,879766,3497067
ACI R735QTJ8XC9X,ACI,4.86,3938555,25307040
ACIM V4HQY6PWHW11,ACIM,63.42,265,40112
TSAI R735QTJ8XC9X,ACIW,60.46,217293,12557139
ACLS RWA0GXFPE739,ACLS,2.25,263330,792946
ACM TSHPE3QO7TD1,ACM,32.3,309536,12928197
CHKM UONN41X6723P,ACMP,57.69,216642,14250024
ACN S6HA7SVNXLYD,ACN,79.54,2426284,185405736
ACNB USLFHILH7P7P,ACNB,18.27,3086,38692
ACOL R735QTJ8XC9X,ACO,45.77,128023,10933558
ACOR TG2OFNO1HAHX,ACOR,38.89,316324,11656514
ACP UTMUH2HW4DB9,ACP,17.51,17211,388335
ACPW RX1KZJOFJBL1,ACPW,3.38,73179,381912
ACRE V62UVLXOXNC5,ACRE,13.28,87947,1752297
ACRX UU1M6GZF9OPX,ACRX,11.89,306973,4766666
ACSF VNA72F0V27AD,ACSF,13.77,118360,3489480
ACST 2T,ACST,1.19,113354,181012
WPI R735QTJ8XC9X,ACT,209.23,2006211,350562144
ACTG SKKDFY9LC5LX,ACTG,15.94,361699,6748493
ACTS TE3S8XBVYYXX,ACTS,2.47,774,48771
ACU R735QTJ8XC9X,ACU,16.25,7423,84219
HDG R735QTJ8XC9X,ACUR,1.47,123328,248728
ACW T854SJL3AHYD,ACW,4.6,125209,647870
ACWI U1BQSAW6XI79,ACWI,58.56,1115516,52321084
