AFK,AFK,31.11,18428,369845
AFL,AFL,63.04,980472,75634820
AFM,AFM,25.61,11013,141937
AFOP,AFOP,14.47,186574,4160879
AFQ,AFQ,25.85,7430,133923
AFSD,AFSD,23.37,14397,400092
AFSI,AFSI,37.61,226860,15801775
AFT,AFT,18.27,16969,385288
AFW,AFW,25.38,2905,255480
AG,AG,9.63,948499,9234468
AGA,AGA,16.01,150,68655
AGC,AGC,7.56,37074,529702
AGCO,AGCO,55.16,1034281,50053354
AGD,AGD,10.01,31775,245005
AGEN,AGEN,3.17,296133,1756745
AGF,AGF,17.6,1263,81629
AGG,AGG,107.95,534712,45568609
AGI,AGI,9.04,260307,2733130
AGII,AGII,45.9,81642,3870927
AGIIL,AGIIL,23.01,9731,170775
AGIO,AGIO,39.15,268046,9512052
AGLS,AGLS,20.86,966,47599
AGM.A,AGM.A,27.24,4,6884
AGM.A,AGM.A,27.24,4,6899
AGM,AGM,33.26,26291,485035
AGN,AGN,124.01,1702904,222492853
AGN,AGN,124.01,1702904,222492853
AGNC,AGNC,21.49,2628532,65363191
AGNCP,AGNCP,26.29,11391,342131
AGNCP,AGNCP,26.29,11391,342131
AGND,AGND,48.56,45,141979
AGND,AGND,48.56,45,124237
AGO,AGO,25.31,838111,39335185
AGOL,AGOL,125.35,11,26734
AGOL,AGOL,125.35,11,26734
AGQ,AGQ,64.06,162866,21505863
AGRO,AGRO,8.17,87488,1015311
AGTC,AGTC,15,18712,12372750
AGU,AGU,97.53,504017,47009513
AGX,AGX,29.76,18438,1041015
AGYS,AGYS,13.4,37114,413165
AGZ,AGZ,111.54,1564,346281
AHC,AHC,11.58,53229,647122
AHGP,AHGP,62.12,13779,1061102
AHH,AHH,10.06,25729,351503
AHL,AHL,39.69,334629,9785546
AHP,AHP,15.13,48044,1429795
AHPI,AHPI,2.27,4337,70931
AHS,AHS,13.75,100903,1896065
AHT,AHT,11.27,552247,5434231
AI,AI,26.49,407502,7282871
AIA,AIA,45.92,7803,258039
AIB,AIB,24.31,4006,346913
AIF,AIF,17.85,93559,717989
AIG,AIG,50.02,3569631,289883248
AIMC,AIMC,35.7,242158,3582498
AIN,AIN,35.54,49683,2286520
AINV,AINV,8.31,1581992,18744072
AIQ,AIQ,33.53,246357,1237181
AIR,AIR,25.95,272504,7664519
AIRI,AIRI,9.38,24802,112341
AIRM,AIRM,53.43,158232,11759638
AIRR,AIRR,19.61,2594,112647
AIRT,AIRT,12.1,1614,18846
AIT,AIT,48.25,94710,4856695
AIV,AIV,30.2,1006206,24837882
AIXG,AIXG,16.3,47577,1237297
AIY,AIY,23.77,9688,368736
AIY,AIY,23.77,9688,368731
AIZ,AIZ,64.97,283818,26787121
AJG,AJG,47.57,268227,16231800
AJG,AJG,47.57,268227,16231800
AKAM,AKAM,58.21,1144051,104983344
AKAO,AKAO,15.46,79460,16372436
AKAO,AKAO,15.46,79460,2383709
AKBA,AKBA,19.56,76691,44433934
AKBA,AKBA,19.56,76691,6230625
AKER,AKER,4.56,8039,185895
AKG,AKG,2.06,121724,482281
AKO.A,AKO.A,17.72,3865,60918
AKO.B,AKO.B,21.4,39139,429512
AKP,AKP,12.71,7156,146797
AKR,AKR,26.38,209790,4222258
AKRX,AKRX,22,1457354,16804050
AKS,AKS,7.22,3784749,27730534
AL,AL,37.28,310880,15563260
ALB,ALB,66.44,327373,24165235
ALCO,ALCO,37.7,24040,379552
ALD,ALD,48.51,5233,414460
ALDW,ALDW,16.66,52981,1659736
ALE,ALE,52.45,133084,8335575
ALEX,ALEX,42.56,144513,5275917
ALFA,ALFA,38.04,6696,800770
ALG,ALG,53.98,24601,941354
ALGN,ALGN,51.79,488198,31089738
ALGT,ALGT,111.93,65418,9565327
ALIM,ALIM,7.89,1072411,1664604
ALJ,ALJ,14.95,337743,5178364
ALJ,ALJ,14.95,337743,5178364
ALK,ALK,93.31,444711,45271562
ALKS,ALKS,44.09,890889,37387454
ALL,ALL,56.59,1321866,96201703
ALLB,ALLB,15.35,1830,56602
ALLB,ALLB,15.35,1830,56602
ALLE,ALLE,52.16,220066,23243472
ALLT,ALLT,13.46,152667,2561007
ALN,ALN,1.14,59969,114757
ALNY,ALNY,67.14,863428,36151231
ALOG,ALOG,82.11,108178,6946991
ALOT,ALOT,11.82,751,37514
ALQA,ALQA,8.43,30553,297129
ALR,ALR,34.34,629388,15712256
ALSK,ALSK,1.93,113906,415228
ALSN,ALSN,29.95,609284,16167336
ALTI,ALTI,4.47,4620,192271
