#right,strike,expiry,open,high,low,close,volume,open_interest
,,,3222.5,3245,3222.25,3234.25,385,
C,2950,20200619,0,0,0,0,0,
C,2960,20200619,0,0,0,0,0,
C,2970,20200619,0,0,0,0,0,
C,2980,20200619,0,0,0,0,0,
C,2990,20200619,0,0,0,0,0,
C,3000,20200619,0,0,0,0,0,
C,3010,20200619,0,0,0,0,0,
C,3020,20200619,0,0,0,0,0,
C,3030,20200619,0,0,0,0,0,
C,3040,20200619,0,0,0,0,0,
C,3050,20200619,0,0,0,0,0,
C,3060,20200619,0,0,0,0,0,
C,3070,20200619,0,0,0,0,0,
C,3080,20200619,0,0,0,0,0,
C,3090,20200619,0,0,0,0,0,
C,3100,20200619,0,0,0,0,0,
C,3110,20200619,0,0,0,0,0,
C,3120,20200619,0,0,0,0,0,
C,3130,20200619,0,0,0,0,0,
C,3140,20200619,0,0,0,0,0,
C,3150,20200619,0,0,0,0,0,
C,3160,20200619,0,0,0,0,0,
C,3170,20200619,0,0,0,0,0,
C,3180,20200619,0,0,0,0,0,
C,3190,20200619,0,0,0,0,0,
C,3200,20200619,0,0,0,0,0,
C,3210,20200619,0,0,0,0,0,
C,3220,20200619,0,0,0,0,0,
C,3230,20200619,0,0,0,0,0,
C,3240,20200619,0,0,0,0,0,
C,3250,20200619,0,0,0,0,0,
C,3260,20200619,0,0,0,0,0,
C,3270,20200619,0,0,0,0,0,
C,3280,20200619,0,0,0,0,0,
C,3290,20200619,0,0,0,0,0,
C,3300,20200619,0,0,0,0,0,
C,3310,20200619,0,0,0,0,0,
C,3320,20200619,0,0,0,0,0,
C,3330,20200619,0,0,0,0,0,
C,3340,20200619,0,0,0,0,0,
C,3350,20200619,0,0,0,0,0,
C,3360,20200619,0,0,0,0,0,
C,3370,20200619,0,0,0,0,0,
C,3380,20200619,0,0,0,0,0,
C,3390,20200619,0,0,0,0,0,
C,3400,20200619,0,0,0,0,0,
C,3410,20200619,0,0,0,0,0,
C,3420,20200619,0,0,0,0,0,
C,3430,20200619,0,0,0,0,0,
C,3440,20200619,0,0,0,0,0,
C,3450,20200619,0,0,0,0,0,
C,3460,20200619,0,0,0,0,0,
C,3470,20200619,0,0,0,0,0,
C,3480,20200619,0,0,0,0,0,
C,3490,20200619,0,0,0,0,0,
C,3500,20200619,0,0,0,0,0,
P,2900,20200619,0,0,0,0,0,
P,2910,20200619,0,0,0,0,0,
P,2920,20200619,0,0,0,0,0,
P,2930,20200619,0,0,0,0,0,
P,2940,20200619,0,0,0,0,0,
P,2950,20200619,0,0,0,0,0,
P,2960,20200619,0,0,0,0,0,
P,2970,20200619,0,0,0,0,0,
P,2980,20200619,0,0,0,0,0,
P,2990,20200619,0,0,0,0,0,
P,3000,20200619,0,0,0,0,0,
P,3010,20200619,0,0,0,0,0,
P,3020,20200619,0,0,0,0,0,
P,3030,20200619,0,0,0,0,0,
P,3040,20200619,0,0,0,0,0,
P,3050,20200619,0,0,0,0,0,
P,3060,20200619,0,0,0,0,0,
P,3070,20200619,0,0,0,0,0,
P,3080,20200619,0,0,0,0,0,
P,3090,20200619,0,0,0,0,0,
P,3100,20200619,0,0,0,0,0,
P,3110,20200619,0,0,0,0,0,
P,3120,20200619,0,0,0,0,0,
P,3130,20200619,0,0,0,0,0,
P,3140,20200619,0,0,0,0,0,
P,3150,20200619,0,0,0,0,0,
P,3160,20200619,0,0,0,0,0,
P,3170,20200619,0,0,0,0,0,
P,3180,20200619,0,0,0,0,0,
P,3190,20200619,0,0,0,0,0,
P,3200,20200619,0,0,0,0,0,
P,3210,20200619,0,0,0,0,0,
P,3220,20200619,0,0,0,0,0,
P,3230,20200619,0,0,0,0,0,
P,3240,20200619,0,0,0,0,0,
P,3250,20200619,0,0,0,0,0,
P,3260,20200619,0,0,0,0,0,
P,3270,20200619,0,0,0,0,0,
P,3280,20200619,0,0,0,0,0,
P,3290,20200619,0,0,0,0,0,
P,3300,20200619,0,0,0,0,0,
P,3310,20200619,0,0,0,0,0,
P,3320,20200619,0,0,0,0,0,
P,3330,20200619,0,0,0,0,0,
P,3340,20200619,0,0,0,0,0,
P,3350,20200619,0,0,0,0,0,
P,3360,20200619,0,0,0,0,0,
P,3370,20200619,0,0,0,0,0,
P,3380,20200619,0,0,0,0,0,
P,3390,20200619,0,0,0,0,0,
P,3400,20200619,0,0,0,0,0,
