#right,strike,expiry,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
,,,3795.54,3795.54,3795.54,3795.54,60,,,,,,,
C,3200,20210115,603.8900,614.3200,603.8900,614.3200,0,11749,0,0,0,0,0,0
C,3700,20210115,120.5000,120.7100,100.6700,100.6700,0,48028,0,0,0,0,0,0
C,3800,20210115,24.8700,27.3700,10.4500,10.4500,0,46997,0,0,0,0,0,0
C,4250,20210115,0.0500,0.0500,0.0500,0.0500,0,9,0,0,0,0,0,0
P,3200,20210115,0.0500,0.0500,0.0500,0.0500,0,32508,0,0,0,0,0,0
P,4200,20210115,503.8000,503.8000,503.8000,503.8000,0,30,0,0,0,0,0,0
