#symbol_id,symbol_value,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
SPX 31,SPX,3764.61,3769.99,3662.71,3700.65,0,,,,,,,
SPX XL80P3GHDZXQ|SPX 31,SPX   210115C03200000,605.6700,605.6700,601.7800,601.7800,31,11755,0.5874554,0.9939969,0.0000676,0.0500581,0.7949284,0.2932836
SPX XL80P3HB5O6M|SPX 31,SPX   210115C03700000,102.4300,117.1700,102.4300,114.2000,165,48148,0.0400669,0.4029496,0.0271984,1.3741224,-0.3201275,0.1370797
SPX XL80P3HH408E|SPX 31,SPX   210115C03800000,26.9000,39.0000,26.9000,27.8300,27298,27854,0.4719319,0.2783378,0.0020029,1.1918704,-8.0146555,0.0923492
SPX XL80P59H5E6M|SPX 31,SPX   210115C04250000,0.0500,0.0500,0.0500,0.0500,0,6,0.4706538,0.0010861,0.0000217,0.0129034,-0.0889065,0.0003659
SPX 31KC0UJFONTBI|SPX 31,SPX   210115P03200000,0.3000,0.3200,0.2500,0.3200,522,31651,0.5874554,-0.0048570,0.0000676,0.0500581,-0.4430077,-0.0016868
SPX 31KC0UJHC75TA|SPX 31,SPX   210115P04200000,503.8000,503.8000,503.8000,503.8000,0,30,0.4494784,-0.9972017,0.0000334,0.0189329,-1.3555075,-0.3865919
