#symbol_id,symbol_value,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
SPX 31,SPX,3764.61,3769.99,3662.71,3700.65,0,,,,,,,
SPX XL80P3GHDZXQ|SPX 31,SPX   210115C03200000,564.9000,564.9000,564.9000,564.9000,0,11755,0.4421905,0.9869766,0.0001201,0.1463419,0.7838892,0.6376057
SPX XL80P3HB5O6M|SPX 31,SPX   210115C03700000,95.0700,119.3300,95.0700,111.5400,825,48148,0.0203648,0.2147756,0.0273180,1.5333832,0.0534531,0.1601041
SPX XL80P3HH408E|SPX 31,SPX   210115C03800000,22.0000,39.3000,22.0000,33.9500,5209,27854,0.3660097,0.2970028,0.0018010,1.8168750,-4.1474877,0.2146631
SPX XL80P59H5E6M|SPX 31,SPX   210115C04250000,0.0500,0.0500,0.0500,0.0500,0,6,0.3407028,0.0019421,0.0000345,0.0324433,-0.0726441,0.0014300
SPX 31KC0UJFONTBI|SPX 31,SPX   210115P03200000,0.7500,1.0000,0.7500,0.8500,143,31651,0.4421905,-0.0105164,0.0001201,0.1463419,-0.4523311,-0.0080238
SPX 31KC0UJHC75TA|SPX 31,SPX   210115P04200000,503.8000,503.8000,503.8000,503.8000,0,30,0.3067050,-0.9958564,0.0000328,0.0277665,-1.2851661,-0.8461818
